"도서관명","시도명","시군구명","도서관유형","평일운영시작시각","평일운영종료시각","열람좌석수","자료수(도서)","소재지도로명주소","운영기관명","홈페이지주소","데이터기준일자"
"우장산숲속도서관","서울특별시","강서구","공공도서관","09:00","22:00","156","59613","서울특별시 강서구 우현로 34","영신교회","http://lib.gangseo.seoul.kr","2026-04-14"
"꿈꾸는어린이도서관","서울특별시","강서구","공공도서관","09:00","22:00","244","67342","서울특별시 강서구 공항대로 615","강서대학교","http://lib.gangseo.seoul.kr","2026-04-14"
"자월도서관","인천광역시","옹진군","공공도서관","09:00","18:00","50","1572","인천광역시 옹진군 자월면 자원리 1116-2, 2층","","","2026-02-09"
"연평도서관","인천광역시","옹진군","공공도서관","09:00","21:00","59","6953","인천광역시 옹진군 연평면 연평로 184","","","2026-02-09"
"영흥도서관","인천광역시","옹진군","공공도서관","10:00","21:00","92","35274","인천광역시 옹진군 영흥면 영흥로 283-31","","","2026-02-09"
"대청도서관","인천광역시","옹진군","공공도서관","09:00","18:00","51","19312","인천광역시 옹진군 대청면 대청리 750","","","2026-02-09"
"백령도서관","인천광역시","옹진군","공공도서관","09:00","21:00","38","25395","인천광역시 옹진군 백령면 백령로260","","","2026-02-09"
"지혜의숲도서관","인천광역시","깅화군","공공도서관","09:00","22:00","154","21697","인천광역시 강화군 선원면 대문고개로 131","","","2026-02-09"
"내가도서관","인천광역시","강화군","공공도서관","09:00","18:00","44","17148","인천광역시 강화군 내가면 강화서로249","","","2026-02-09"
"강화도서관","인천광역시","강화군","공공도서관","09:00","22:00","401","82669","인천광역시 강화군 강화읍 북문길 9번길 18","","","2026-02-09"
"단봉늘봄도서관","인천광역시","서구","공공도서관","09:00","22:00","193","41393","인천광역시 서구 오동로 25","","","2026-02-09"
"마전도서관","인천광역시","서구","공공도서관","09:00","22:00","490","72144","인천광역시 서구 원당대로 563","","","2026-02-09"
"검암도서관","인천광역시","서구","공공도서관","09:00","22:00","210","50296","인천광역시 서구 검암로 20번길 20","","","2026-02-09"
"청라호수도서관","인천광역시","서구","공공도서관","09:00","22:00","633","130869","인천광역시 서구 크리스탈로 59","","","2026-02-09"
"청라국제도서관","인천광역시","서구","공공도서관","09:00","22:00","220","108933","인천광역시 서구 담지로 24","","","2026-02-09"
"신석도서관","인천광역시","서구","공공도서관","09:00","22:00","350","70636","인천광역시 서구 염곡로 299","","","2026-02-09"
"석남도서관","인천광역시","서구","공공도서관","09:00","22:00","283","62921","인천광역시 서구 서달로 137번길6-12","","","2026-02-09"
"검단도서관","인천광역시","서구","공공도서관","09:00","22:00","350","86072","인천광역시 서구 완정로 92번길 18","","","2026-02-09"
"심곡도서관","인천광역시","서구","공공도서관","09:00","22:00","212","77652","인천광역시 서구 심곡로 31","","","2026-02-09"
"가재울꿈어린이도서관","인천광역시","서구","공공도서관","09:00","18:00","485","263047","인천광역시 서구 건지로334번길 45","","","2026-02-09"
"서구도서관","인천광역시","서구","공공도서관","06:00","22:00","480","253958","인천광역시 서구 건지로334번길 45","","","2026-02-09"
"별똥별어린이도서관","인천광역시","계양구","공공도서관","09:00","18:00","48","14400","인천광역시 계양구 봉오대로 510","","","2026-02-09"
"임학도서관","인천광역시","계양구","공공도서관","09:00","22:00","44","20177","인천광역시 계양구 임학동로 26-1","","","2026-02-09"
"동양도서관","인천광역시","계양구","공공도서관","09:00","22:00","142","49556","인천광역시 계양구 당미길 31","","","2026-02-09"
"서운도서관","인천광역시","계양구","공공도서관","09:00","22:00","105","42149","인천광역시 계양구 아나지로457번길 16","","","2026-02-09"
"효성도서관","인천광역시","계양구","공공도서관","09:00","22:00","117","49947","인천광역시 계양구 봉오대로600번길 14","","","2026-02-09"
"작전도서관","인천광역시","계양구","공공도서관","09:00","22:00","185","44572","인천광역시 계양구 오조산로21번길 4","","","2026-02-09"
"계양도서관","인천광역시","계양구","공공도서관","06:00","22:00","606","211481","인천광역시 계양구 계양산로134번길 18","","","2026-02-09"
"청천도서관","인천광역시","부평구","공공도서관","09:00","22:00","149","61007","인천광역시 부평구 원길로 23","","","2026-02-09"
"부개어린이도서관","인천광역시","부평구","공공도서관","09:00","18:00","70","22831","인천광역시 부평구 동수로 166","","","2026-02-09"
"삼산도서관","인천광역시","부평구","공공도서관","09:00","22:00","204","69595","인천광역시 부평구 부평북로 445","","","2026-02-09"
"갈산도서관","인천광역시","부평구","공공도서관","09:00","18:00","92","28287","인천광역시 부평구 주부토로 254","","","2026-02-09"
"부개도서관","인천광역시","부평구","공공도서관","09:00","22:00","227","65303","인천광역시 부평구 부일로83번길 46","","","2026-02-09"
"부평기적의도서관","인천광역시","부평구","공공도서관","09:00","18:00","120","53484","인천광역시 부평구 길주남로 166","","","2026-02-09"
"신트리도서관","인천광역시","부평구","공공도서관","06:00","22:00","1220","297481","인천광역시 부평구 신트리로 21","","","2026-02-09"
"부평도서관","인천광역시","부평구","공공도서관","06:00","22:00","1051","198134","인천광역시 부평구 경원대로 1191","","","2026-02-09"
"논현도서관","인천광역시","남동구","공공도서관","08:00","22:00","36","46716","인천광역시 남동구 청능대로 611번길 15","","","2026-02-09"
"만수2동어린이도서관","인천광역시","남동구","공공도서관","09:00","18:00","0","35425","인천광역시 남동구 만수서로46(2층)","","","2026-02-09"
"소래도서관","인천광역시","남동구","공공도서관","06:00","22:00","74","114986","인천광역시 남동구 앵고개로 793","","","2026-02-09"
"서창도서관","인천광역시","남동구","공공도서관","06:00","22:00","42","95836","인천광역시 남동구 독곡로 16번길 15","","","2026-02-09"
"간석3동어린이도서관","인천광역시","남동구","공공도서관","09:00","18:00","0","41464","인천광역시 남동구 용천로 186(3층)","","","2026-02-09"
"중앙도서관","인천광역시","남동구","공공도서관","06:00","22:00","888","304597","인천광역시 남동구 정각로9 (인천광역시교육청)","","","2026-02-09"
"인천도서관","인천광역시","남동구","공공도서관","09:00","22:00","1169","727364","인천광역시 남동구 인주대로 776번길 53","","","2026-02-09"
"송도국제도서관","인천광역시","연수구","공공도서관","09:00","21:00","493","47565","인천광역시 연수구 아카데미로 166","","","2026-02-09"
"함박비류도서관","인천광역시","연수구","공공도서관","09:00","18:00","142","29925","인천광역시 연수구 함박안로 217","","","2026-02-09"
"동춘나래도서관","인천광역시","연수구","공공도서관","09:00","18:00","176","41689","인천광역시 연수구 봉재산로54번길 30","","","2026-02-09"
"선학별빛도서관","인천광역시","연수구","공공도서관","09:00","22:00","169","63197","인천광역시 연수구 넘말로30","","","2026-02-09"
"해돋이도서관","인천광역시","연수구","공공도서관","09:00","22:00","200","73984","인천광역시 연수구 해돋이로 51","","","2026-02-09"
"송도국제기구도서관","인천광역시","연수구","공공도서관","09:00","18:00","76","27237","인천광역시 연수구 아트센터대로 175, 2층","","","2026-02-09"
"연수청학도서관","인천광역시","연수구","공공도서관","07:00","22:00","400","85347","인천광역시 연수구 솔샘로 146","","","2026-02-09"
"송도국제어린이도서관","인천광역시","연수구","공공도서관","10:00","18:00","141","73819","인천광역시 연수구 컨벤시아대로 43","","","2026-02-09"
"연수꿈담도서관","인천광역시","연수구","공공도서관","09:00","22:00","300","52490","인천광역시 연수구 먼우금로 164","","","2026-02-09"
"연수도서관","인천광역시","연수구","공공도서관","06:00","22:00","484","237870","인천광역시 연수구 함박뫼로 152번길 96","","","2026-02-09"
"용비도서관","인천광역시","미추홀구","공공도서관","10:00","22:00","96","37980","인천광역시 미추홀구 토금남로 82","","","2026-02-09"
"학나래도서관","인천광역시","미추홀구","공공도서관","10:00","22:00","115","52675","인천광역시 미추홀구 한나루로 444","","","2026-02-09"
"수봉도서관","인천광역시","미추홀구","공공도서관","09:00","22:00","463","113854","인천광역시 미추홀구 경인로 218","","","2026-02-09"
"주안도서관","인천광역시","미추홀구","공공도서관","06:00","22:00","835","247131","인천광역시 미추홀구 구월남로 27","","","2026-02-09"
"꿈드림어린이영어도서관","인천광역시","동구","공공도서관","09:00","18:00","0","23731","인천광역시 동구 새천년로 93","","","2026-02-09"
"이룸청소년도서관","인천광역시","동구","공공도서관","10:00","19:00","85","4990","인천광역시 동구 샛골로 144(청봄이룸터)","","","2026-02-09"
"송림도서관","인천광역시","동구","공공도서관","06:00","22:00","450","87504","인천광역시 동구 새천년로 72","","","2026-02-09"
"화도진도서관","인천광역시","동구","공공도서관","06:00","22:00","662","180271","인천광역시 동구 화도진로 122","","","2026-02-09"
"영종국제도서관","인천광역시","중구","공공도서관","09:00","22:00","138","12994","인천광역시 중구 찬들로 151","","","2026-02-09"
"영종하늘도서관","인천광역시","중구","공공도서관","09:00","22:00","442","106945","인천광역시 중구 하늘중앙로 132","","","2026-02-09"
"꿈벗도서관","인천광역시","중구","공공도서관","09:00","18:00","85","44916","인천광역시 중구 홍예문로 32","","","2026-02-09"
"영종도서관","인천광역시","중구","공공도서관","09:00","22:00","311","115680","인천광역시 중구 영종대로 85","","","2026-02-09"
"율목도서관","인천광역시","중구","공공도서관","09:00","22:00","265","89599","인천광역시 중구 답동로24번길 17","","","2026-02-09"
"흥천도서관","경기도","여주시","공공도서관","10:00","19:00","145","13598","경기도 여주시 흥천면 효자로 121","경기도 여주시청","http://www.yjlib.go.kr","2025-12-22"
"여주기적의도서관","경기도","여주시","공공도서관","09:00","18:00","177","17996","경기도 여주시 세종대왕면 양화로 913","경기도 여주시청","http://www.yjlib.go.kr","2025-12-22"
"대신도서관","경기도","여주시","공공도서관","09:00","22:00","108","28387","경기도 여주시 대신면 율촌1길 12-10","경기도 여주시청","http://www.yjlib.go.kr","2025-12-22"
"금사도서관","경기도","여주시","공공도서관","10:00","19:00","63","16067","경기도 여주시 흥천면 이여로 1278-2","경기도 여주시청","http://www.yjlib.go.kr","2025-12-22"
"점동도서관","경기도","여주시","공공도서관","09:00","22:00","121","34250","경기도 여주시 점동면 청안로 130-15","경기도 여주시청","http://www.yjlib.go.kr","2025-12-22"
"세종도서관","경기도","여주시","공공도서관","09:00","22:00","148","132944","경기도 여주시 영릉로 125","경기도 여주시청","http://www.yjlib.go.kr","2025-12-22"
"여주도서관","경기도","여주시","공공도서관","09:00","22:00","326","152775","경기도 여주시 여양로 190-17","경기도 여주시청","http://www.yjlib.go.kr","2025-12-22"
"화성동탄중앙도서관","경기도","화성시","공공도서관","09:00","22:00","600","237747","경기도 화성시 동탄구 동탄중앙로 120 (반송동)","경기도 화성시청","www.hscitylib.or.kr","2026-02-01"
"향남복합문화센터도서관","경기도","화성시","공공도서관","09:00","22:00","374","36465","경기도 화성시 만세구 향남읍 상신하길로273번길 17","화성시문화관광재단","www.hscitylib.or.kr","2026-02-01"
"태안도서관","경기도","화성시","공공도서관","09:00","22:00","359","115287","경기도 화성시 병점구 화산중앙로 19 (안녕동)","화성시문화관광재단","www.hscitylib.or.kr","2026-02-01"
"진안도서관","경기도","화성시","공공도서관","09:00","22:00","471","91689","경기도 화성시 병점구 병점중앙로 229 (진안동)","화성시문화관광재단","www.hscitylib.or.kr","2026-02-01"
"정남도서관","경기도","화성시","공공도서관","09:00","22:00","83","45396","경기도 화성시 효행구 정남면 만년로 527","화성시문화관광재단","www.hscitylib.or.kr","2026-02-01"
"왕배푸른숲도서관","경기도","화성시","공공도서관","09:00","22:00","218","61000","경기도 화성시 동탄구 동탄대로12길 102 (산척동)","화성시문화관광재단","www.hscitylib.or.kr","2026-02-01"
"송산도서관","경기도","화성시","공공도서관","09:00","22:00","396","86249","경기도 화성시 만세구 송산면 삼일공원로 87","화성시문화관광재단","www.hscitylib.or.kr","2026-02-01"
"송린이음터도서관","경기도","화성시","공공도서관","09:00","22:00","204","68158","경기도 화성시 만세구 수노을2로 150 (새솔동)","화성시문화관광재단","www.hscitylib.or.kr","2026-02-01"
"서연이음터도서관","경기도","화성시","공공도서관","09:00","22:00","140","47642","경기도 화성시 동탄구 동탄순환대로8길 57 (장지동)","화성시인재육성재단","www.hscitylib.or.kr","2026-02-01"
"삼괴도서관","경기도","화성시","공공도서관","09:00","22:00","186","86775","경기도 화성시 만세구 우정읍 쌍봉로 109-26","화성시문화관광재단","www.hscitylib.or.kr","2026-02-01"
"봉담도서관","경기도","화성시","공공도서관","09:00","22:00","737","130996","경기도 화성시 효행구 봉담읍 샘마을1길 8-4","화성시문화관광재단","www.hscitylib.or.kr","2026-02-01"
"병점도서관","경기도","화성시","공공도서관","09:00","22:00","275","141429","경기도 화성시 병점구 병점3로 132-6 (병점동)","화성시문화관광재단","www.hscitylib.or.kr","2026-02-01"
"목동이음터도서관","경기도","화성시","공공도서관","09:00","22:00","168","94708","경기도 화성시 동탄구 동탄순환대로20길 6 (목동)","화성시문화관광재단","www.hscitylib.or.kr","2026-02-01"
"동탄중앙이음터도서관","경기도","화성시","공공도서관","09:00","22:00","480","124473","경기도 화성시 동탄구 동탄대로시범길 115 (청계동)","화성시문화관광재단","www.hscitylib.or.kr","2026-02-01"
"동탄다원이음터도서관","경기도","화성시","공공도서관","09:00","22:00","284","94873","경기도 화성시 동탄구 동탄순환대로 754-14 (영천동)","화성시인재육성재단","www.hscitylib.or.kr","2026-02-01"
"노을빛도서관","경기도","화성시","공공도서관","09:00","22:00","262","37530","경기도 화성시 병점구 병점노을로 19 (병점동)","화성시문화관광재단","www.hscitylib.or.kr","2026-02-01"
"남양도서관","경기도","화성시","공공도서관","09:00","22:00","756","113967","경기도 화성시 만세구 남양읍 역골중앙로 143","경기도 화성시청","www.hscitylib.or.kr","2026-02-01"
"하남시감일도서관","경기도","하남시","공공도서관","09:00","22:00","124","32697","경기도 하남시 감일순환로 171","하남시립도서관","","2026-01-01"
"하남시일가도서관","경기도","하남시","공공도서관","09:00","18:00","110","32957","경기도 하남시 미사강변남로 10","하남시립도서관","https://www.hanamlib.go.kr/iglib/index.do","2026-01-01"
"하남시덕풍도서관","경기도","하남시","공공도서관","08:00","23:00","170","29514","경기도 하남시 역말로 14","하남시립도서관","https://www.hanamlib.go.kr/dulib/index.do","2026-01-01"
"하남시디지털도서관","경기도","하남시","공공도서관","08:00","23:00","400","0","경기도 하남시 미사강변한강로 290-2","하남시립도서관","https://www.hanamlib.go.kr/dilib/index.do","2026-01-01"
"하남시세미도서관","경기도","하남시","공공도서관","09:00","22:00","209","35528","경기도 하남시 세미로1길 15","하남시립도서관","https://www.hanamlib.go.kr/selib/index.do","2026-01-01"
"하남시신장도서관","경기도","하남시","공공도서관","08:00","23:00","400","153435","경기도 하남시 하남대로 740","하남시립도서관","https://www.hanamlib.go.kr/silib/index.do","2026-01-01"
"하남시위례도서관","경기도","하남시","공공도서관","09:00","22:00","392","64535","경기도 하남시 위례대로 230","하남시립도서관","https://www.hanamlib.go.kr/wilib/index.do","2026-01-01"
"하남시나룰도서관","경기도","하남시","공공도서관","08:00","23:00","567","220215","경기도 하남시 덕풍북로 180","하남시립도서관","https://www.hanamlib.go.kr/nalib/index.do","2026-01-01"
"하남시미사도서관","경기도","하남시","공공도서관","09:00","22:00","813","154031","경기도 하남시 아리수로 545","하남시립도서관","https://www.hanamlib.go.kr/mslib/index.do","2026-01-01"
"백운호수도서관","경기도","의왕시","공공도서관","09:00","22:00","104","21111","경기도 의왕시 백운중앙로 74","경기도 의왕시청","https://uwlib.or.kr/baeagun","2025-12-19"
"포일어울림도서관","경기도","의왕시","공공도서관","09:00","22:00","112","23771","경기도 의왕시 안양판교로 82","경기도 의왕시청","https://uwlib.or.kr/poil","2025-12-19"
"글로벌도서관","경기도","의왕시","공공도서관","09:00","20:00","200","92508","경기도 의왕시 보식골로 30-10","경기도 의왕시청","http://www.uwlib.or.kr/global/main.do","2025-12-19"
"내손도서관","경기도","의왕시","공공도서관","07:00","23:00","125","218513","경기도 의왕시 복지로 109","경기도 의왕시청","http://www.uwlib.or.kr/naeson","2025-12-19"
"중앙도서관(열람실)","경기도","의왕시","공공도서관","07:00","23:00","567","199896","경기도 의왕시 골우물길 49","경기도 의왕시청","http://www.uwlib.or.kr/jungang/main.do","2025-12-19"
"중앙도서관(자료실)","경기도","의왕시","공공도서관","09:00","22:00","567","199896","경기도 의왕시 골우물길 49","경기도 의왕시청","http://www.uwlib.or.kr/jungang/main.do","2025-12-19"
"신현도서관","경기도","광주시","공공도서관","09:00","22:00","0","31252","경기도 광주시 머루숯길 70","경기도 광주시청","http://lib.gjcity.go.kr","2025-12-19"
"만선도서관","경기도","광주시","공공도서관","09:00","22:00","129","31449","경기도 광주시 곤지암읍 곤지암로11번길 47","경기도 광주시청","http://lib.gjcity.go.kr","2025-12-19"
"퇴촌도서관","경기도","광주시","공공도서관","09:00","22:00","125","26559","경기도 광주시 퇴촌면 탑골길 37","경기도 광주시청","http://lib.gjcity.go.kr","2025-12-19"
"광남도서관","경기도","광주시","공공도서관","09:00","22:00","359","40319","경기도 광주시 고불로46번길 47","경기도 광주시청","http://lib.gjcity.go.kr","2025-12-19"
"양벌도서관","경기도","광주시","공공도서관","09:00","22:00","62","25312","경기도 광주시 양벌로 195-25","경기도 광주시청","http://lib.gjcity.go.kr","2025-12-19"
"능평도서관","경기도","광주시","공공도서관","09:00","22:00","375","77273","경기도 광주시 창뜰아랫길 6","경기도 광주시청","http://lib.gjcity.go.kr","2025-12-19"
"곤지암도서관","경기도","광주시","공공도서관","09:00","22:00","176","89632","경기도 광주시 곤지암읍 곤지암로11번길 47","경기도 광주시청","http://lib.gjcity.go.kr","2025-12-19"
"초월도서관","경기도","광주시","공공도서관","09:00","22:00","303","10188","경기도 광주시 초월읍 무들로 3-26","경기도 광주시청","http://lib.gjcity.go.kr","2025-12-19"
"오포도서관","경기도","광주시","공공도서관","09:00","22:00","208","90908","경기도 광주시 태봉로 193","경기도 광주시청","http://lib.gjcity.go.kr","2025-12-19"
"중앙도서관","경기도","광주시","공공도서관","09:00","22:00","626","302009","경기도 광주시 문화로 82","경기도 광주시청","http://lib.gjcity.go.kr","2025-12-19"
"연천도서관","경기도","연천군","공공도서관","09:00","23:00","84","68036","경기도 연천군 연천읍 차현로 76-7","경기도 연천군청","http://library.yeoncheon.go.kr","2025-12-23"
"중앙도서관","경기도","연천군","공공도서관","09:00","23:00","153","103255","경기도 연천군 전곡읍 전은길 9-26","경기도 연천군청","http://library.yeoncheon.go.kr","2025-12-23"
"벌말도서관","경기도","안양시","공공도서관","09:00","20:00","130","66581","경기도 안양시 동안구 흥안대로434번길 19-27 (평촌동)","경기도 안양시청","http://lib.anyang.go.kr","2026-01-02"
"안양어린이도서관","경기도","안양시","공공도서관","10:00","19:00","502","108327","경기도 안양시 동안구 동안로 66 (호계동)","경기도 안양시청","http://lib.anyang.go.kr","2026-01-02"
"호계도서관","경기도","안양시","공공도서관","08:00","23:00","610","158073","경기도 안양시 동안구 경수대로685번길 26 (호계동)","경기도 안양시청","http://lib.anyang.go.kr","2026-01-02"
"비산도서관","경기도","안양시","공공도서관","08:00","23:00","590","103154","경기도 안양시 동안구 관악대로 123 (비산동)","경기도 안양시청","http://lib.anyang.go.kr","2026-01-02"
"관양도서관","경기도","안양시","공공도서관","08:00","23:00","520","102908","경기도 안양시 동안구 동편로 124 (관양동)","경기도 안양시청","http://lib.anyang.go.kr","2026-01-02"
"평촌도서관(임시자료실 운영중/안양어린이도서관 2층)","경기도","안양시","공공도서관","10:00","19:00","26","205300","경기도 안양시 동안구 동안로 66 (호계동)","경기도 안양시청","http://lib.anyang.go.kr","2026-01-02"
"큰샘어린이도서관","경기도","안양시","공공도서관","10:00","19:00","300","21511","경기도 안양시 만안구 덕천로 102 (안양동)","경기도 안양시청","http://lib.anyang.go.kr","2026-01-02"
"박달도서관","경기도","안양시","공공도서관","08:00","23:00","400","99387","경기도 안양시 만안구 박달로 459 (박달동)","경기도 안양시청","http://lib.anyang.go.kr","2026-01-02"
"삼덕도서관","경기도","안양시","공공도서관","08:00","23:00","390","89313","경기도 안양시 만안구 병목안로 58 (안양동)","경기도 안양시청","http://lib.anyang.go.kr","2026-01-02"
"만안도서관","경기도","안양시","공공도서관","08:00","23:00","562","249887","경기도 안양시 만안구 냉천로 51 (안양동)","경기도 안양시청","http://lib.anyang.go.kr","2026-01-02"
"석수도서관","경기도","안양시","공공도서관","08:00","23:00","2000","301056","경기도 안양시 만안구 양화로217번길 34 (석수동)","경기도 안양시청","http://lib.anyang.go.kr","2026-01-02"
"한아름도서관","경기도","수원시","공공도서관","09:00","21:00","120","34640","경기도 수원시 영통구 반달로 45(영통동 1012-5)","대한불교조계종 사회복지재단","https://www.suwonlib.go.kr/bandal","2026-01-01"
"사랑샘도서관","경기도","수원시","공공도서관","09:00","18:00","52","26941","경기도 수원시 영통구 창룡대로 255(이의동 1088-13)","수원중앙복지재단","https://www.suwonlib.go.kr/swlove","2026-01-01"
"희망샘도서관","경기도","수원시","공공도서관","09:00","22:00","65","48777","경기도 수원시 팔달구 권광로 293(인계동 333)","수원시청소년청년재단","https://www.suwonlib.go.kr/sycc","2026-01-01"
"망포글빛도서관","경기도","수원시","공공도서관","07:00","23:00","512","68204","경기도 수원시 영통구 망포로 100(망포동)","경기도 수원시청","https://www.suwonlib.go.kr/mpgb","2026-01-01"
"매여울도서관","경기도","수원시","공공도서관","07:00","23:00","484","74751","경기도 수원시 영통구 효원로 415","경기도 수원시청","https://www.suwonlib.go.kr/myu/","2026-01-01"
"광교푸른숲도서관","경기도","수원시","공공도서관","07:00","23:00","626","76796","경기도 수원시 영통구 광교호수로 131(하동)","경기도 수원시청","https://www.suwonlib.go.kr/gps","2026-01-01"
"태장마루도서관","경기도","수원시","공공도서관","07:00","23:00","813","145422","경기도 수원시 영통구 태장로 46(망포동)","경기도 수원시청","https://www.suwonlib.go.kr/tm/","2026-01-01"
"광교홍재도서관","경기도","수원시","공공도서관","07:00","23:00","770","137551","경기도 수원시 영통구 대학로 88(이의동)","경기도 수원시청","https://www.suwonlib.go.kr/gh/","2026-01-01"
"일월도서관","경기도","수원시","공공도서관","07:00","23:00","635","102119","경기도 수원시 장안구 일월천로 77(천천동)","경기도 수원시청","https://www.suwonlib.go.kr/iw","2026-01-01"
"대추골도서관","경기도","수원시","공공도서관","07:00","23:00","500","119531","경기도 수원시 장안구 수일로 164(조원동)","경기도 수원시청","https://www.suwonlib.go.kr/dcg","2026-01-01"
"북수원도서관","경기도","수원시","공공도서관","07:00","23:00","745","228588","경기도 수원시 장안구 만석로 65(정자동)","경기도 수원시청","https://www.suwonlib.go.kr/buk","2026-01-01"
"버드내도서관","경기도","수원시","공공도서관","07:00","23:00","480","98118","경기도 수원시 권선구 세권로94번길 29","경기도 수원시청","https://www.suwonlib.go.kr/bdn","2026-01-01"
"한림도서관","경기도","수원시","공공도서관","07:00","23:00","423","88806","경기도 수원시 권선구 동수원로25번길 32-110(권선동)","경기도 수원시청","https://www.suwonlib.go.kr/hl","2026-01-01"
"서수원도서관","경기도","수원시","공공도서관","07:00","23:00","746","218305","경기도 수원시 권선구 탑동로57번길 35(탑동)","경기도 수원시청","https://www.suwonlib.go.kr/seo","2026-01-01"
"호매실도서관","경기도","수원시","공공도서관","07:00","23:00","616","145150","경기도 수원시 권선구 칠보로 169(호매실동)","경기도 수원시청","https://www.suwonlib.go.kr/hms","2026-01-01"
"화서다산도서관","경기도","수원시","공공도서관","07:00","23:00","552","90374","경기도 수원시 팔달구 화양로68번길 7-35(화서동)","경기도 수원시청","https://www.suwonlib.go.kr/hd","2026-01-01"
"창룡도서관","경기도","수원시","공공도서관","07:00","23:00","663","99400","경기도 수원시 팔달구 월드컵로381번길 36(우만동)","경기도 수원시청","https://www.suwonlib.go.kr/cy","2026-01-01"
"중앙도서관","경기도","수원시","공공도서관","07:00","23:00","488","236794","경기도 수원시 팔달구 팔달산로 318(교동)","경기도 수원시청","https://www.suwonlib.go.kr/ct","2026-01-01"
"선경도서관","경기도","수원시","공공도서관","07:00","23:00","820","471653","경기도 수원시 팔달구 신풍로23번길 68(신풍동)","경기도 수원시청","https://www.suwonlib.go.kr/sk/","2026-01-01"
"꿈벗도서관","인천광역시","중구","공공도서관","09:00","18:00","86","29725","인천광역시 중구 홍예문로 32","","","2025-12-28"
"일원라온영어도서관","서울특별시","강남구","공공도서관","09:00","18:00","98","24862","서울특별시 강남구 영동대로 22, 지하 1층","","https://library.gangnam.go.kr/englib/index.do","2025-12-26"
"개포하늘꿈도서관","서울특별시","강남구","공공도서관","09:00","22:00","240","25741","서울특별시 강남구 개포로110길 54","(사)작은도서관만드는사람들","https://library.gangnam.go.kr/hnkklib","2025-12-26"
"못골도서관","서울특별시","강남구","공공도서관","09:00","22:00","196","73448","서울특별시 강남구 자곡로 116","(사)작은도서관만드는사람들","http://library.gangnam.go.kr/mglib","2025-12-26"
"열린도서관","서울특별시","강남구","공공도서관","09:00","22:00","78","38362","서울특별시 강남구 일원로115(삼성생명빌딩B동 203호)","(사)작은도서관만드는사람들","https://library.gangnam.go.kr/yllib","2025-12-26"
"역삼도서관","서울특별시","강남구","공공도서관","09:00","22:00","102","38284","서울특별시 강남구 역삼로7길 16 (역삼1문화센터 5층)","(사)작은도서관만드는사람들","http://library.gangnam.go.kr/yslib","2025-12-26"
"역삼푸른솔도서관","서울특별시","강남구","공공도서관","09:00","18:00","93","41493","서울특별시 강남구 테헤란로8길 36 (강남문화원 4층)","(사)작은도서관만드는사람들","https://library.gangnam.go.kr/ysplib","2025-12-26"
"행복한도서관","서울특별시","강남구","공공도서관","09:00","22:00","88","46353","서울특별시 강남구 영동대로65길 24 (대치2문화센터 3층)","(사)작은도서관만드는사람들","http://library.gangnam.go.kr/happylib","2025-12-26"
"즐거운도서관","서울특별시","강남구","공공도서관","09:00","22:00","78","38019","서울특별시 강남구 도곡로77길 23 (대치4문화센터 4층)","(사)작은도서관만드는사람들","https://library.gangnam.go.kr/jgwlib","2025-12-26"
"대치도서관","서울특별시","강남구","공공도서관","09:00","21:00","140","58663","서울특별시 강남구 삼성로 212 (은마상가 C블럭 2층)","(사)작은도서관만드는사람들","https://library.gangnam.go.kr/dchlib","2025-12-26"
"청담도서관","서울특별시","강남구","공공도서관","09:00","22:00","72","35447","서울특별시 강남구 압구정로79길 26 (청담문화센터 7층)","(사)작은도서관만드는사람들","https://library.gangnam.go.kr/cdlib","2025-12-26"
"정다운도서관","서울특별시","강남구","공공도서관","09:00","22:00","70","48805","서울특별시 강남구 학동로67길 11 (청담평생학습관 3층)","(사)작은도서관만드는사람들","https://library.gangnam.go.kr/jdwlib","2025-12-26"
"논현도서관","서울특별시","강남구","공공도서관","09:00","22:00","122","50462","서울특별시 강남구 학동로43길 17 (논현2문화센터 6층)","(사)작은도서관만드는사람들","https://library.gangnam.go.kr/nhlib","2025-12-26"
"도곡정보문화도서관","서울특별시","강남구","공공도서관","09:00","22:00","597","118881","서울특별시 강남구 도곡로18길 57, 3~6층","","https://library.gangnam.go.kr/dogoklib/index.do","2025-12-26"
"우면도서관","서울특별시","서초구","공공도서관","09:00","21:00","000","19011","서울특별시 서초구 양재대로2길 110","(재)서초문화재단","https://umyeon.seocholib.or.kr/","2025-12-22"
"방배숲환경도서관","서울특별시","서초구","공공도서관","09:00","22:00","115","22801","서울특별시 서초구 서초대로 160-7","(사)에코맘코리아","https://forest.seocholib.or.kr/","2025-12-22"
"서초청소년도서관","서울특별시","서초구","공공도서관","10:00","22:00","224","39595","서울특별시 서초구 효령로77길 37","(사)한국청소년지원네트워크","https://seocho.seocholib.or.kr/","2025-12-22"
"서초그림책도서관","서울특별시","서초구","공공도서관","09:00","21:00","100","17812","서울특별시 서초구 명달로 150","(재)서초문화재단","https://picturebook.seocholib.or.kr/","2025-12-22"
"방배도서관","서울특별시","서초구","공공도서관","09:00","21:00","60","22133","서울특별시 서초구 방배로 40","(재)서초문화재단","https://bangbae.seocholib.or.kr/","2025-12-22"
